CustomerID,Gender,Age,Subscription_Start_Date,Last_Payment_Date,Total_Charges,Monthly_Charges,Churn,Customer_Service_Calls,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Tech_Support,Contract,Paperless_Billing,Payment_Method,Notes
C-1001,Male,45,2020-01-15,2023-08-10,5550.65,65.50,No,1,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,
C-1002,Female,32,2019-05-20,2023-09-01,7200.10,89.99,no,0,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,
C-1003,,67,2018-11-01,2023-07-15,8500.00,105.75,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer (automatic),Account flagged for review
C-1004,Female,25,2022-02-10,2023-08-25,950.25,45.00,No,2,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card (automatic),
C-1005,Male,51,2021-08-05,2023-09-05,3200.50,75.20,YES,1,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Electronic check,
C-1006,Female,29,2023-01-12,2023-08-18,,55.00,No,0,No,-,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,
C-1007,Male,72,2017-03-30,2023-06-20,9800.70,115.25,Yes,4,Yes,Yes,FIBER OPTIC,Yes,Yes,Two year,Yes,Credit card (automatic),
C-1008,Female,22,2022-09-15,2023-08-30,400.00,50.00,No,1,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,New customer
C-1009,Male,48,2020-12-01,,95.50,No,0,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Bank transfer (automatic),
C-1010,female,38,2021-04-22,2023-09-02,4800.90,99.99,No,2,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,
C-1011,Male,999,2019-07-14,2023-08-01,6100.30,102.00,Yes,1,Yes,No,DSL,Yes,Yes,Two year,No,Credit card (automatic),Age seems incorrect
C-1012,Male,56,2018-02-18,2023-07-28,7500.00,110.50,yes,3,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,
